doc_id_1,doc_id_2,shared_bands
30857,32173,8
97427,39737,9
93780,76881,11
28897,28872,1
28897,96855,7
28872,96855,1
61396,61395,11
9917,9836,2
20859,20861,7
65841,91258,2
97561,87784,11
93053,1798,12
43605,43640,8
43605,43396,2
43640,43396,3
89390,92101,4
89390,95462,7
92101,95462,3
81040,97751,9
59171,59354,7
59171,98671,11
59354,98671,6
32908,32466,3
51182,90505,15
12072,98752,14
47058,95208,7
96684,79441,11
15107,97419,13
93316,61470,4
90340,65376,8
1458,1415,2
88585,40830,14
61748,61693,6
90016,23552,11
89387,79663,5
73979,71441,4
98582,45842,15
89116,92126,4
30288,98793,10
25120,25053,4
25120,25214,3
25053,25214,2
34488,34417,11
27549,27616,10
66337,66316,11
44947,95106,8
70143,97460,12
92017,81030,4
90254,68763,13
90286,67679,13
98801,19569,9
56603,57713,1
94087,40085,14
73237,73313,8
99657,67880,12
94791,11324,4
88193,90523,5
96615,42743,11
58399,58429,4
91801,28263,5
98254,68905,11
28820,89465,3
95136,80622,9
84742,98765,13
55064,55199,4
29846,29927,3
19534,19440,1
58778,58782,13
58778,58780,13
58778,58784,12
58778,58783,13
58778,58779,13
58782,58780,12
58782,58784,11
58782,58783,11
58782,58779,13
58780,58784,10
58780,58783,12
58780,58779,12
58784,58783,11
58784,58779,11
58783,58779,11
385,90846,9
98557,3282,12
36677,36640,3
10892,96947,7
42508,42505,7
67036,88657,8
40679,94461,6
62400,98009,15
52074,91530,2
92403,7873,2
99690,17003,12
14134,14155,7
7850,7870,9
7850,7871,9
7850,8049,5
7870,7871,13
7870,8049,5
7871,8049,5
28373,92401,5
28373,92896,7
92401,92896,2
8543,8561,7
54742,99747,11
6938,6624,5
73907,96114,10
43799,92846,4
99092,16714,14
94500,98700,7
94500,82840,8
98700,82840,9
98537,86009,13
96188,35975,7
53308,53302,4
1620,95033,5
95557,87205,8
90901,57995,13
2058,2032,4
94398,72159,8
93755,78890,2
93755,99522,2
78890,99522,5
95888,77810,4
25314,96898,3
93547,1604,1
93547,1733,7
1604,1733,2
88627,20425,15
88679,79292,14
55026,51810,1
55026,51985,2
55026,51766,4
51810,51985,3
51810,51766,3
51985,51766,12
4009,95456,13
93748,79335,4
55268,55149,9
89428,88346,15
89428,46404,9
88346,46404,9
46767,99523,14
98630,24136,10
33118,93637,6
47879,88940,10
99347,35926,11
43530,96479,8
99615,54323,9
11584,99885,13
89723,16687,7
94244,78640,9
98995,65672,15
4282,90304,12
56990,90928,1
71378,91620,5
89283,74364,15
32329,94203,10
74120,94747,5
99708,78991,13
99708,79028,1
78991,79028,1
27238,90307,7
27238,91732,11
90307,91732,5
32305,96120,9
91508,45094,7
51441,88024,12
30063,88791,1
30063,29890,1
30063,30108,10
88791,29890,9
88791,30108,1
29890,30108,1
56732,93599,1
56732,88645,2
56732,79360,1
93599,88645,1
93599,79360,5
88645,79360,1
97140,13899,13
50366,50401,5
50366,50425,1
50401,50425,1
95560,70542,10
34937,96330,5
45300,95646,5
99199,18387,14
88972,60445,12
91015,55100,5
44535,44536,9
98556,64703,11
97451,39920,8
97451,39629,11
39920,39629,12
17631,17657,1
14509,93855,5
81883,99178,14
96907,69635,2
35305,35298,1
33325,95125,4
94983,7338,5
90643,12414,11
47785,98888,8
31843,31818,3
98584,6296,16
98584,92717,6
6296,92717,6
54543,54797,5
39934,91686,11
61857,95748,6
32078,86662,6
32078,93259,2
86662,93259,2
94967,88593,11
20092,91913,3
53489,99298,16
14043,98778,11
37276,37283,1
92722,12808,5
36760,36938,6
15694,15697,6
32084,32130,3
34623,99549,15
94941,66842,10
38914,38472,14
50237,98318,9
98099,16629,10
96415,58456,8
17944,17963,9
17944,17664,9
17963,17664,13
1492,1800,4
40953,40555,7
64498,99732,13
53333,53870,6
49706,92279,6
40896,40073,10
14252,14202,6
86331,99662,11
90208,52059,12
43633,43016,3
17523,94577,1
44540,44227,6
54406,89508,14
63137,90904,9
59228,58981,4
89107,80303,13
17506,17076,4
99678,42828,14
96579,7966,6
63483,98971,14
59720,89294,12
19408,19437,1
97876,77014,9
70749,70881,7
22,92844,4
90107,35136,10
1757,1750,14
60895,60706,9
78450,90209,12
98264,21441,12
98665,81188,14
11836,99660,10
94105,98531,7
94105,60602,8
98531,60602,15
31742,91457,7
85268,95375,2
85268,44477,3
85268,37435,2
85268,34762,2
85268,27260,6
85268,34807,4
85268,50476,2
85268,34939,4
85268,36357,1
85268,24152,2
85268,54732,2
85268,37226,3
85268,37006,4
85268,30879,4
85268,92323,2
85268,31248,1
85268,33389,4
95375,44477,1
95375,37435,2
95375,34762,1
95375,27260,2
95375,34807,1
95375,50476,2
95375,34939,2
95375,36357,1
95375,24152,1
95375,54732,8
95375,37226,2
95375,37006,1
95375,30879,2
95375,92323,1
95375,31248,1
95375,33389,2
44477,37435,2
44477,34762,2
44477,27260,3
44477,34807,3
44477,50476,1
44477,34939,4
44477,36357,1
44477,24152,2
44477,54732,1
44477,37226,2
44477,37006,4
44477,30879,3
44477,92323,2
44477,31248,2
44477,33389,2
37435,34762,2
37435,27260,3
37435,34807,1
37435,50476,2
37435,34939,2
37435,36357,2
37435,24152,2
37435,54732,2
37435,37226,1
37435,37006,3
37435,30879,3
37435,92323,2
37435,31248,1
37435,33389,1
34762,27260,3
34762,34807,4
34762,50476,3
34762,34939,2
34762,36357,1
34762,24152,3
34762,54732,1
34762,37226,2
34762,37006,4
34762,30879,4
34762,92323,1
34762,31248,3
34762,33389,3
27260,34807,4
27260,50476,4
27260,34939,4
27260,36357,1
27260,24152,3
27260,54732,2
27260,37226,3
27260,37006,5
27260,30879,5
27260,92323,2
27260,31248,1
27260,33389,3
34807,50476,2
34807,34939,3
34807,36357,1
34807,24152,2
34807,54732,1
34807,37226,2
34807,37006,4
34807,30879,3
34807,92323,1
34807,31248,4
34807,33389,4
50476,34939,2
50476,36357,1
50476,24152,2
50476,54732,2
50476,37226,2
50476,37006,3
50476,30879,3
50476,92323,1
50476,31248,2
50476,33389,3
34939,36357,1
34939,24152,2
34939,54732,2
34939,37226,3
34939,37006,4
34939,30879,4
34939,92323,2
34939,31248,2
34939,33389,3
36357,24152,1
36357,54732,1
36357,37226,1
36357,37006,1
36357,30879,1
36357,92323,1
36357,31248,1
36357,33389,1
24152,54732,1
24152,37226,2
24152,37006,3
24152,30879,3
24152,92323,1
24152,31248,1
24152,33389,2
54732,37226,2
54732,37006,1
54732,30879,2
54732,92323,1
54732,31248,1
54732,33389,2
37226,37006,2
37226,30879,3
37226,92323,1
37226,31248,1
37226,33389,3
37006,30879,4
37006,92323,2
37006,31248,3
37006,33389,3
30879,92323,2
30879,31248,2
30879,33389,3
92323,31248,1
92323,33389,1
31248,33389,2
67310,67378,7
98834,77671,12
33191,98631,13
73681,73705,10
73681,73637,9
73705,73637,9
28235,98309,7
98073,85064,5
98073,64151,9
85064,64151,3
43641,43122,10
46153,86019,12
10154,91810,7
99386,16934,7
99386,17166,11
16934,17166,11
84347,96566,6
97669,55126,12
88019,77153,10
59232,60623,11
89757,94788,7
89757,16388,9
94788,16388,9
91978,73236,5
89272,22153,12
99932,68521,15
99932,97030,9
68521,97030,10
27286,98953,11
94847,502,10
59971,94751,3
42950,98969,13
23244,89136,5
25323,99718,14
99488,4597,15
99488,99598,14
4597,99598,15
61995,99083,9
96274,64641,10
31333,98268,11
95691,71706,5
95206,2074,12
99629,8443,10
90626,41078,11
88862,61833,9
62247,62354,9
4532,88910,5
92563,78572,7
96854,64835,9
94825,9206,4
94091,51878,2
89773,2717,10
93225,42223,5
46646,99791,14
99268,21947,15
15385,96265,9
55635,88555,10
47124,94009,8
16429,90190,13
92897,73149,4
92897,92639,3
73149,92639,5
60814,98389,13
39334,99455,9
39334,39339,10
99455,39339,7
88743,34952,12
71932,71907,1
19749,90226,6
99328,38305,15
79410,90948,4
6577,6740,9
99646,11040,13
99646,91851,7
11040,91851,8
35213,98528,12
81162,82211,1
46098,99630,10
59353,88355,7
90174,48995,10
80134,90686,14
88528,37117,5
95393,19948,6
73927,73925,10
97826,92771,4
97826,70670,14
92771,70670,5
41681,40903,3
41681,41339,7
41681,41361,10
40903,41339,2
40903,41361,3
41339,41361,6
45438,98745,13
45294,43874,1
88114,84588,6
91814,27975,4
4316,92459,6
88818,32715,6
39536,99631,15
95945,25161,2
15330,99894,7
8292,8312,8
8292,99327,12
8312,99327,7
93090,52477,7
95490,78524,5
87853,98613,14
87853,56272,3
98613,56272,3
22805,89100,3
60915,97457,15
68138,68142,1
68138,68625,1
68142,68625,3
60874,60875,11
60874,60872,8
60875,60872,8
42265,97587,10
95111,1347,15
42283,88333,9
70211,87703,13
70211,92825,5
70211,70092,5
87703,92825,4
87703,70092,4
92825,70092,4
14228,15325,9
96156,26171,6
18703,18741,2
78591,98768,12
21178,35177,15
78290,99564,12
10016,95338,6
58546,89853,8
44353,44374,3
94508,32315,11
99953,27129,13
99953,92041,8
27129,92041,9
55180,54895,3
92876,88043,4
92876,42867,5
88043,42867,11
20652,20840,2
95698,70201,5
94519,78013,4
22874,22774,7
3717,26346,7
71909,72265,3
71909,71888,4
72265,71888,1
94781,27000,9
98690,84487,13
7985,88410,5
92617,51525,2
42233,97756,8
59396,89818,8
47147,47186,2
98977,85642,5
98483,18588,11
82596,99369,10
43580,97105,12
98913,32336,13
18750,99886,9
45199,45325,4
60013,98973,11
60013,61753,1
98973,61753,1
92997,10851,7
68891,85417,8
54687,98339,10
85615,6388,9
88797,24666,13
5036,5042,5
39628,39519,1
61746,61826,5
61746,99105,16
61826,99105,5
93215,51068,9
93582,42470,3
65650,65552,1
