doc_id_1,doc_id_2,shared_bands,jaccard,decision
30857,32173,8,0.7778,below_threshold
97427,39737,9,0.8750,duplicate
93780,76881,11,0.8636,duplicate
28897,28872,1,0.1351,below_threshold
28897,96855,7,0.7778,below_threshold
28872,96855,1,0.1351,below_threshold
61396,61395,11,0.8788,duplicate
9917,9836,2,0.6667,below_threshold
20859,20861,7,0.8182,duplicate
65841,91258,2,0.7143,below_threshold
97561,87784,11,0.8974,duplicate
93053,1798,12,0.8961,duplicate
43605,43640,8,0.8250,duplicate
43605,43396,2,0.5208,below_threshold
43640,43396,3,0.5556,below_threshold
89390,92101,4,0.7391,below_threshold
89390,95462,7,0.7391,below_threshold
92101,95462,3,0.6000,below_threshold
81040,97751,9,0.9000,duplicate
59171,59354,7,0.7209,below_threshold
59171,98671,11,0.9231,duplicate
59354,98671,6,0.6739,below_threshold
32908,32466,3,0.6531,below_threshold
51182,90505,15,0.9429,duplicate
12072,98752,14,0.9783,duplicate
47058,95208,7,0.7500,below_threshold
96684,79441,11,0.8723,duplicate
15107,97419,13,0.8947,duplicate
93316,61470,4,0.6571,below_threshold
90340,65376,8,0.8222,duplicate
1458,1415,2,0.7174,below_threshold
88585,40830,14,0.9200,duplicate
61748,61693,6,0.8444,duplicate
90016,23552,11,0.9310,duplicate
89387,79663,5,0.7391,below_threshold
73979,71441,4,0.6400,below_threshold
98582,45842,15,0.9630,duplicate
89116,92126,4,0.6471,below_threshold
30288,98793,10,0.9500,duplicate
25120,25053,4,0.6905,below_threshold
25120,25214,3,0.6905,below_threshold
25053,25214,2,0.6744,below_threshold
34488,34417,11,0.9268,duplicate
27549,27616,10,0.8571,duplicate
66337,66316,11,0.8868,duplicate
44947,95106,8,0.8696,duplicate
70143,97460,12,0.8710,duplicate
92017,81030,4,0.7368,below_threshold
90254,68763,13,0.9310,duplicate
90286,67679,13,0.9394,duplicate
98801,19569,9,0.9032,duplicate
56603,57713,1,0.5500,below_threshold
94087,40085,14,0.9326,duplicate
73237,73313,8,0.8378,duplicate
99657,67880,12,0.9118,duplicate
94791,11324,4,0.7647,below_threshold
88193,90523,5,0.6818,below_threshold
96615,42743,11,0.9487,duplicate
58399,58429,4,0.7750,below_threshold
91801,28263,5,0.7600,below_threshold
98254,68905,11,0.9167,duplicate
28820,89465,3,0.6232,below_threshold
95136,80622,9,0.8667,duplicate
84742,98765,13,0.9474,duplicate
55064,55199,4,0.6833,below_threshold
29846,29927,3,0.6486,below_threshold
19534,19440,1,0.5472,below_threshold
58778,58782,13,0.8824,duplicate
58778,58780,13,0.8824,duplicate
58778,58784,12,0.8824,duplicate
58778,58783,13,0.8824,duplicate
58778,58779,13,0.8824,duplicate
58782,58780,12,0.8824,duplicate
58782,58784,11,0.8824,duplicate
58782,58783,11,0.8824,duplicate
58782,58779,13,0.8824,duplicate
58780,58784,10,0.8824,duplicate
58780,58783,12,0.8824,duplicate
58780,58779,12,0.8824,duplicate
58784,58783,11,0.8824,duplicate
58784,58779,11,0.8824,duplicate
58783,58779,11,0.8824,duplicate
385,90846,9,0.8571,duplicate
98557,3282,12,0.9333,duplicate
36677,36640,3,0.7368,below_threshold
10892,96947,7,0.7778,below_threshold
42508,42505,7,0.9000,duplicate
67036,88657,8,0.7778,below_threshold
40679,94461,6,0.8378,duplicate
62400,98009,15,0.9535,duplicate
52074,91530,2,0.5789,below_threshold
92403,7873,2,0.6000,below_threshold
99690,17003,12,0.9091,duplicate
14134,14155,7,0.8182,duplicate
7850,7870,9,0.8077,duplicate
7850,7871,9,0.7143,below_threshold
7850,8049,5,0.6604,below_threshold
7870,7871,13,0.8846,duplicate
7870,8049,5,0.6364,below_threshold
7871,8049,5,0.6727,below_threshold
28373,92401,5,0.7391,below_threshold
28373,92896,7,0.7391,below_threshold
92401,92896,2,0.6000,below_threshold
8543,8561,7,0.7442,below_threshold
54742,99747,11,0.9250,duplicate
6938,6624,5,0.7907,below_threshold
73907,96114,10,0.8462,duplicate
43799,92846,4,0.7436,below_threshold
99092,16714,14,0.9556,duplicate
94500,98700,7,0.7750,below_threshold
94500,82840,8,0.8378,duplicate
98700,82840,9,0.9189,duplicate
98537,86009,13,0.9500,duplicate
96188,35975,7,0.8605,duplicate
53308,53302,4,0.6000,below_threshold
1620,95033,5,0.7143,below_threshold
95557,87205,8,0.7647,below_threshold
90901,57995,13,0.9048,duplicate
2058,2032,4,0.6829,below_threshold
94398,72159,8,0.7576,below_threshold
93755,78890,2,0.6571,below_threshold
93755,99522,2,0.5476,below_threshold
78890,99522,5,0.8056,duplicate
95888,77810,4,0.7000,below_threshold
25314,96898,3,0.6667,below_threshold
93547,1604,1,0.4727,below_threshold
93547,1733,7,0.7674,below_threshold
1604,1733,2,0.6200,below_threshold
88627,20425,15,0.8696,duplicate
88679,79292,14,0.9500,duplicate
55026,51810,1,0.5714,below_threshold
55026,51985,2,0.7105,below_threshold
55026,51766,4,0.7105,below_threshold
51810,51985,3,0.6154,below_threshold
51810,51766,3,0.6154,below_threshold
51985,51766,12,0.8788,duplicate
4009,95456,13,0.8868,duplicate
93748,79335,4,0.6757,below_threshold
55268,55149,9,0.8276,duplicate
89428,88346,15,0.9444,duplicate
89428,46404,9,0.7949,below_threshold
88346,46404,9,0.8421,duplicate
46767,99523,14,0.9250,duplicate
98630,24136,10,0.9024,duplicate
33118,93637,6,0.7647,below_threshold
47879,88940,10,0.8947,duplicate
99347,35926,11,0.9143,duplicate
43530,96479,8,0.7857,below_threshold
99615,54323,9,0.8000,duplicate
11584,99885,13,0.9667,duplicate
89723,16687,7,0.7576,below_threshold
94244,78640,9,0.8421,duplicate
98995,65672,15,0.9394,duplicate
4282,90304,12,0.9487,duplicate
56990,90928,1,0.5000,below_threshold
71378,91620,5,0.7419,below_threshold
89283,74364,15,0.9512,duplicate
32329,94203,10,0.8605,duplicate
74120,94747,5,0.6786,below_threshold
99708,78991,13,0.8864,duplicate
99708,79028,1,0.5000,below_threshold
78991,79028,1,0.5472,below_threshold
27238,90307,7,0.8095,duplicate
27238,91732,11,0.8095,duplicate
90307,91732,5,0.6889,below_threshold
32305,96120,9,0.8421,duplicate
91508,45094,7,0.7551,below_threshold
51441,88024,12,0.9429,duplicate
30063,88791,1,0.3363,below_threshold
30063,29890,1,0.3727,below_threshold
30063,30108,10,0.8354,duplicate
88791,29890,9,0.7955,below_threshold
88791,30108,1,0.3333,below_threshold
29890,30108,1,0.3694,below_threshold
56732,93599,1,0.3333,below_threshold
56732,88645,2,0.5000,below_threshold
56732,79360,1,0.4857,below_threshold
93599,88645,1,0.2381,below_threshold
93599,79360,5,0.6129,below_threshold
88645,79360,1,0.3000,below_threshold
97140,13899,13,0.9412,duplicate
50366,50401,5,0.7556,below_threshold
50366,50425,1,0.4746,below_threshold
50401,50425,1,0.5088,below_threshold
95560,70542,10,0.7826,below_threshold
34937,96330,5,0.7273,below_threshold
45300,95646,5,0.7755,below_threshold
99199,18387,14,0.9636,duplicate
88972,60445,12,0.8462,duplicate
91015,55100,5,0.7273,below_threshold
44535,44536,9,0.8810,duplicate
98556,64703,11,0.9200,duplicate
97451,39920,8,0.7963,below_threshold
97451,39629,11,0.9216,duplicate
39920,39629,12,0.8654,duplicate
17631,17657,1,0.5179,below_threshold
14509,93855,5,0.7500,below_threshold
81883,99178,14,0.9677,duplicate
96907,69635,2,0.5714,below_threshold
35305,35298,1,0.4545,below_threshold
33325,95125,4,0.6000,below_threshold
94983,7338,5,0.8235,duplicate
90643,12414,11,0.9259,duplicate
47785,98888,8,0.8511,duplicate
